a	(prep) to	(N/A) to	
sposa	(n) newlywed	
sposalias	(npl) wedding ceremony	
sposar	(v) marry	
sposate pp of sposar;	(adj) married	
sposo	(n) newlywed	
spuer	(v) spit	
spuma	(n) foam	
spumar	(v) foam	
spumifere	(adj) spumiferous	
spumose	(adj) foamy	
spumositate	(n) foaminess	
sputar	(v) spit	
sputation	(n) spitting	
sputo	(n) spit	
squali forme	(adj) squaliform	
squalo	(n) Squalus	
squal odonte	(n) Squalodon	
squaloide	(adj) squaloid	
squama	(n) scale	
squamar	(v) scale	
squamose	(adj) scaly	
stabile	(adj) stable	
stabilimento	(n) establishment	
stabilir	(v) establish	
stabilisar	(n) stabilize	
stabilisation	(n) stabilization	
stabilisator	(n) stabilizer	
stabilitate	(n) stability	
stabilitor	(n) establisher	
stabular	(v) stable	
stabulation	(n) stabling	
stabulo	(n) stable	
stadio	(n) stadium	
staffa	(n) stirrup	
staffero	(n) groom	
staffetta	(n) staffette	
stagnante ppr of stagnar;	(adj) stagnant	
stagnar	(v) stagnate	
stagnation	(n) stagnation	
stagno	(n) pond	
stalactite	(n) stalactite	
stalactitic	(adj) stalactitic	
stalagmite	(n) staiagmite	
stalagmitic	(adj) stalagmitic	
stallo	(n) stall	
stallon	(n) stallion	
staminal	(adj) staminal	
staminate	(adj) staminate	
stamine	(n) worsted yarn	
staminifere	(adj) staminiferous	
stampa	(n) print	
stampage	(n) stamping	
stampar	(v) stamp	
stampator	(n) stamper	
stand	(n) stand	
standard	(n) standard	
standardisar	(v) standardize	
standardisation	(n) standardization	
standardo	(n) standard	
stannar	(v) tin	
stannato	(n) stannate	
stannator	(n) tin plater	
stannatura	(n) tinning	
stannero	(n) tinsmith	
stannic	(adj) stannic	
stannifere	(adj) stanniferous	
stanno	(n) tin	
stanza	(n) stanza	
star	(v) stand	
starter	(n) starter	
stase	(n) stasis	
static	(adj) static	
statica	(n) statics	
station	(n) standing	
stationar	(v) halt	
stationari	(adj) stationary	
statista	(n) statesman	
statistic	(adj) statistica	
statistica	(n) statistics	
statistico	(n) statistician	
stato	(n) state	
statua	(n) statue	
statuari	(adj) statuary	
statuaria	(n) statuary	
statuario	(n) statue maker	
statuer	(v) decree	
statuetta	(n) statuette	
statura	(n) stature	
statutari	(adj) statutory	
statuto	(n) bylaw	
steamer	(n) steamer	
stear	(n) tallow	
stearato	(n) stearate	
stearic	(adj) stearic	
stearina	(n) stearin	
steatite	(n) steatite	
steatoma	(n) steatoma	
steatosis	(n) fatty degeneration	
steeplechase	(n) steeplechase	
stella	(n) star	
stellar	(adj) stellar stellar v to star	
stellate	(adj) starry	
stellifere	(adj) stelliferous	
sten-	(adj) steno-	
stencil	(n) stencil	
stenographia	(n) stenography	
stenographiar	(v) stenograph	
stenographic	(adj) stenographic	
stenographista	(n) stenographist	
steno grapho	(n) stenographer	
Stentore	(npr) Stentor	
stentoree	(adj) stentorian	
Stephano	(npr) Stephen	
steppa	(n) steppe	
ster bordo	(n) starboard	
stercoral	(adj) stercoral	
stercorar	(v) manure	
stercorari	(adj) stercoral	
stercorario	(n) dunghill	
stercore	(n) manure	
stere-	(adj) stere-	
stereo	(n) stere	
stereo graphia	(n) stereography	
stereographic	(adj) stereographic	
stereo metria	(n) stereometry	
stereoscopia	(n) stereoscopy	
stereoscopic	(adj) stereoscopic	
stereo scopio	(n) stereoscope	
stereo tomia	(n) stereotomy	
stereotomic	(adj) stereotomic	
stereotypar	(v) stereotype	
stereotype	(adj) stereotype	
stereotypia	(n) stereotyping	
stereotypic	(adj) stereotype	
stereo typo	(n) stereo	
sterile	(adj) sterile	
sterilisar	(v) sterilize	
sterilisate pp of sterilisar;	(adj) sterile	
sterilisation	(n) sterilization	
sterilisator	(n) sterilizer	
sterilitate	(n) sterility	
sternal	(adj) sternal	
stern algia	(n) sternalgia	
sterno	(n) breastbone	
sterno costal	(adj) sternocostal	
sternutamento	(n) sneezing	
sternutar	(v) sneeze	
sternutation	(n) sternutation	
sternutatori	(adj) sternutatory	
stetho-	(n) stetho-	
stethoscopia	(n) stethoscopy	
stethoscopic	(adj) stethoscopic	
stetho scopio	(n) stethoscope	
steward	(n) steward	
sthenic	(adj) sthenic	
stheno-	(n) sthen-	
sticho	(n) stich	
sticho mythia	(n) stichomythy	
stigma	(n) stigma	
stigmata	(npl) stigmata	
stigmatisar	(v) stigmatize	
stigmatisation	(n) stigmatization	
stiletto	(n) stiletto	
stilisar	(v) stylize	
stilisation	(n) stylization	
stilista	(n) stylist	
stilistic	(adj) stylistic	
stilistica	(n) stylistics	
stilla	(n) drop	
stillar	(v) drip	
stillation	(n) dripping	
stilo	(n) style	
stimulante ppr of stimular;	(adj) stimulating stimulante n stimulant	
stimular	(v) stimulate	
stimulation	(n) stimulation	
stimulative	(adj) stimulative	
stimulator	(n) stimulator	
stipar	(v) stuff	
stipendiar	(v) pay a stipend to	
stipendiari	(adj) stipendiary	
stipendiario	(n) stipendiary	
stipendio	(n) stipend	
stipular	(v) stipulate	
stipulation	(n) stipulation	
stirpe	(n) stock	
stivage	(n) estivage	
stivar	(v) steeve	
stivator	(n) steever	
stoa	(n) stoa	
stock	(n) stock	
stockar	(v) stock	
stoffa	(n) material	
stoic	(adj) stoic	
stoicismo	(n) stoicism	
stoico	(n) stoic	
stola	(n) stole	
stoma	(n) stoma	
stomachal	(adj) stomachic	
stomacho	(n) stomach	
stomatitis	(n) stomatitis	
stomato scopio	(n) stomatoscope	
stoppa	(n) tow	
stoppar	(v) stop up	
stoppator	(n) caulker	
stoppose	(adj) tow	
strabe	(adj) cross-eyed	
strabismo	(n) strabismus	
strabo tomia	(n) strabotomy	
strangular	(v) strangle	
strangulate pp of strangular;	(adj) strangulated	
strangulation	(n) strangulation	
strangulator	(n) strangler	
strata	(n) road	
stratagema	(n) stratagem	
stratagematic	(adj) stratagemic	
strategia	(n) strategy	
strategic	(adj) strategic	
strategista	(n) strategist	
stratego	(n) leader	
stratificar	(v) stratify	
stratification	(n) stratification	
strato	(n) layer	
strato sphera	(n) stratosphere	
stratospheric	(adj) stratospheric	
streper	(v) rattle	
strepitar	(v) make a noise	
strepito	(n) noise	
strepitose	(adj) noisy	
strept-	(adj) strepto-	
strepto cocco	(n) streptococcus	
stricte	(adj) narrow	
strictessa	(n) narrowness	
stricto	(n) straits	
strictura	(n) binding tightly	
stridente ppr of strider;	(adj) strident	
stridentia	(n) stridence	
strider	(v) make a harsh	
stridor	(n) stridor	
stridulante	(adj) stridulant	
stridular	(v) stridulate	
stridulation	(n) stridulation	
stridulator	(n) stridulator	
stridulatori	(adj) stridulatory	
stridule	(adj) stridulous	
strige	(n) Strix	
strigides	(npl) Strigidae	
stringer	(v) enfold tightly	
Strontian	(npr) Strontian	
strontianite	(n) strontianite	
strontium	(n) strontium	
strophe	(n) strophe	
strophic	(adj) strophic	
stropiar	(v) maim	
stropiato	(n) cripple	
structura	(n) structure	
structural	(adj) structural	
strudel	(n) strudel	
struer	(v) arrange	
struma	(n) struma	
strumose	(adj) strumous	
struthio	(n) ostrich	
strychnic	(adj) strychnic	
strychnina	(n) strychnine	
strychninismo	(n) strychninism	
strychno	(n) Strychnos	
stuccar	(v) stucco	
stuccator	(n) stuccoer	
stuccatura	(n) stuccowork	
stucco	(n) stucco	
studente	(n) student	
studer	(v) study	
studiante	(n) student	
studiar	(v) study	
studio	(n) study	
studiose	(adj) studious	
stupe facer	(v) stupefy	
stupefaciente	(adj) stupefying	
stupefaction	(n) stupefaction	
stupefactive	(adj) stupefying	
stupende	(adj) amazing	
stuper	(v) be stunned	
stupide	(adj) stunned	
stupiditate	(n) stupidity	
stupor	(n) stupor	
stupula	(n) stubble	
sturion	(n) sturgeon	
sturno	(n) starling	
stygie	(adj) Stygian	
Styge	(npr) Styx	
su	(N/A) his	
suabe	(adj) Swabian	
Suabia	(npr) Swabia	
suabo	(n) Swabian	
suader	(v) advise	
suasibile	(adj) suasible	
suasion	(n) suasion	
suasive	(adj) suasive	
suave	(adj) sweet	
suavi loquente	(adj) mild-spoken	
suavitate	(n) sweetness	
sub	(prep) under	
sub-	(prefixo) sub-	
subalimentar	(v) undernourish	
subalimentation	(n) undernourishment	
subalterne	(adj) subaltern	
subbullimento	(n) simmering	
subbullir	(v) simmer	
subcamisa	(n) undershirt	
subclavio	(n) subclavius	
subconsciente	(adj) subconscious	(n) subconscious	
subconscientia	(n) subconsciousness	
subcontrari	(adj) subcontrary	
subcuppa	(n) saucer	
subcutanee	(adj) subcutaneous	
subdelegar	(v) subdelegate	
subdelegation	(n) subdelegation	
subdivider	(v) subdivide	
subdivisibile	(adj) subdivisible	
subdivision	(n) subdivision	
subdominante	(n) subdominant	
subgonnella	(n) petticoat	
subhuman	(adj) subhuman	
subinde	(adv) immediately after	
subitanee	(adj) sudden	
subitaneitate	(n) suddenness	
subite	(adj) sudden	
subito	(adv) suddenly	
subjacente	(adj) subjacent	
subjectar	(v) subject	
subjecte	(adj) subject	
subjection	(n) subjection	
subjective	(adj) subjective	
subjectivismo	(n) subjectivism	
subjectivista	(v) subjectivist	
subjectivitate	(n) subjectiveness	
subjecto	(n) subject	
subjugar	(v) subjugate	
subjugation	(n) subjugation	
subjugator	(n) subjugator	
subjunctive	(adj) conjunctive	
subjunctivo	(n) subjunctive	
subjunger	(v) subjoin	
sublevamento	(n) raising	
sublevar	(v) raise	
sublevation	(n) sublevation raising	
sublimar	(v) sublimate	
sublimation	(n) sublimation	
sublimato	(n) sublimate	
sublime	(adj/n) sublime	
subliminal	(adj) subliminal	
sublimitate	(n) sublimity	
sublinear	(v) underline	
sublingual	(adj) sublingual	
sublobular	(adj) sublobular	
sublocar	(v) sublet	
sublocation	(n) subletting	
sublocotenente	(n) sublieutenant	
sublunar	(adj) sublunary	
submarin	(adj) submarine	
submarino	(n) submarine	
submaxillar	(adj) submaxillary	
submerger	(v) submerge	
submergibile	(adj) submersible	
submerse	(adj) submerged	
submersibile	(adj) submersible submersibile n submarine boat	
submersion	(n) submersion	
subministrar	(v) furnish	
submisse	(adj) submissive	
submission	(n) submission	
submissive	(adj) submissive	
submitter	(v) subdue	
subnavigar	(v) cruise under water	
subnegar	(v) conceal	
subnegation	(n) concealment	
subordinar	(v) subordinate	
subordinate pp of subordinar;	(adj) subordinate	
subordination	(n) subordination	
subordinato	(n) subordinate	
subornar	(v) suborn	
subornation	(n) subornation	
subornator	(n) suborner	
subprefecto	(n) subprefect	
subprefectura	(n) subprefecture	
subprior	(n) subprior	
subpriora	(n) subprioress	
subproducto	(n) by-product	
subrogar	(v) surrogate	
subrogate	(adj) surrogated	
subrogation	(n) subrogation	
subscriber	(v) subscribe	
subscription	(n) subscription	
subscriptor	(n) subscriber	
subsequente	(adj) subsequent	
subsequentia	(n) subsequence	
subsequer	(v) follow next	
subsider	(v) abate	
subsidiar	(v) subsidize	
subsidiari	(adj) subsidiary	
subsidio	(n) subsidy	
subsistente	(adj) subsistent	
subsistentia	(n) subsistence	
subsister	(v) subsist	
subspecie	(n) subspecies	
substantia	(n) substance	
substantial	(adj) substantial	
substantialitate	(n) substantiality	
substantive	(adj) substantive	
substantivo	(n) substantive	
substituer	(v) substitute	
substitution	(n) substitution	
substituto	(n) substitute	
substrato	(n) substratum	
substruction	(n) substruction	
substructura	(n) substructure	
substruer	(v) substruct	
subtangente	(n) subtangent	
subtender	(v) subtend	
subtensa	(n) subtense	
subterfugio	(n) subterfuge	
subterfugir	(v) make use of subterfuges	
subterranee	(adj) subterranean	
subterraneo	(n) basement	
subtil	(adj) subtle	
subtilisar	(v) rarefy	
subtilisation	(n) rarefaction	
subtilitate	(n) subtlety	
subtitulo	(n) subtitle	
subtraction	(n) withdrawal	
subtraher	(v) withdraw	
subtropical	(adj) subtropical	
subtus	(adv) below	
subula	(n) awl	
subulate	(adj) subulate	
suburban	(adj) suburban	
suburbicari	(adj) suburbicarian	
suburbio	(n) suburb	
subvenir	(v) assist	
subvention	(n) subvention	
subventionar	(v) subsidize	
subversion	(n) subversion	
subversive	(adj) subversive	
subversor	(n) subverter	
subverter	(v) t overthrow	
subvestimentos	(npl) underwear	
succedanee	(adj) substitute	
succedaneo	(n) substitute	
succeder	(v) succeed	
succedite pp of succeder;	(adj) successful	
succession	(n) succession	
successive	(adj) successive	
successivemente	(adv) successively	
successo	(n) outcome	
successor	(n) successor	
succinato	(n) succinate	
succincte	(adj) succinct	
succinger	(v) gird up	
succinic	(adj) succinic	
succino	(n) yellow amber	
succo	(n) juice	
succose	(adj) juicy	
succubar	(v) lie below	
succubo	(n) succubus	
succulente	(adj) succulent	
succulentia	(n) succulence	
succumber	(v) succumb	
succurrer	(v) succor	
succurribile	(adj) succorable	
succursal	(adj) subsidiary	(n) branch	
succurso	(n) succor	
succussa	(n) shake	
succussion	(n) succussion	
succuter	(v) shake	
sucrage	(n) sugaring	
sucrar	(v) sugar	
sucrate pp of sucrar;	(adj) sweet	
sucreria	(n) sugarworks	
sucrero	(n) sugar maker	
sucriera	(n) sugar bowl	
sucro	(n) sugar	
sucrosa	(n) sucrose	
suction	(n) suction	
sud	(n) south	
Sudan	(npr) Sudan	
sudanese	(adj/n) Sudanese	
sudar	(v) sweat	
sudario	(n) sudary	
sudation	(n) perspiration	
sudatori	(adj) sudatory	
sud-est	(n) southeast	
sudor	(n) sweat	
sudorifere	(adj) sudoriferous	
sudorific	(adj) sudorific	
sudorifico	(n) sudorific	
sudori pare	(adj) sudoriferous	
sud-sud-est	(n) South-Southeast	
sud-west	(n) Southwest	
sue	(N/A) pron poss his	
suer	(v) sew	
sufficer	(v) suffice	
sufficiente	(adj) sufficient	
sufficientia	(n) sufficiency	
suffixar	(v) suffix	
suflixo	(n) suffix	
sufflar	(v) blow	
sufflator	(n) blower	
suffletto	(n) bellows	
sufflo	(n) breath	
suffocante	(adj) choking	
suffocar	(v) suffocate	
suffocation	(n) suffocation	
suffraganee	(adj) suffragan	
suffragar	(v) vote	
suffragette	(n) suffragette	
suffragio	(n) suffrage	
suffragista	(n) suffragist	
suffrentia	(n) suffering	
suffrer	(v) suffer	
suffribile	(adj) bearable	
suffritor	(n) sufferer	
suffumigar	(v) suffumigate	
suffumigation	(n) suffumigation	
suger	(v) suck	
suggerer	(v) suggest	
suggestibile	(adj) suggestible	
suggestibilitate	(n) suggestibility	
suggestion	(n) suggestion	
suggestionar	(v) suggest	
suggestive	(adj) suggestive	
sui cida	(n) suicide	
suicidal	(adj) suicidal	
sui cidio	(n) suicide	
suite	(n) suite	
sulcar	(v) furrow	
sulco	(n) furrow	
sulfato	(n) sulphate	
sulf hydric	(adj) sulphydric	
sulf hydro	(n) sulphydrate	
sulfido	(n) sulphide	
sulfito	(n) sulphite	
sulfon	(n) sulphone	
sulfonal	(n) sulphonal	
sulfurar	(v) sulphurize	
sulfuration	(n) sulphurization	
sulfurator	(n) sulphurator	
sulfure	(n) sulphur	
sulfuree	(adj) sulphurous	
sulfuric	(adj) sulphuric	
sulfuriera	(n) sulphur mine	
sulfurose	(adj) sulphurous	
sulky	(n) sulky	
sultan	(n) sultan	
sultana	(n) sultana	
sultanato	(n) sultanate	
sumer	(v) take	
summa	(n) sum	
summar	(v) add up	
summari	(adj) summary	
summario	(n) summary	
summarisar	(v) summarize	
summarisation	(n) summarization	
summator	(n) one who does sums	
summe	(adj) highest	
summista	(n) summist	
summitate	(n) summit	
sumpto	(n) expense	
sumptuari	(adj) sumptuary	
sumptuose	(adj) sumptuous	
sumptuositate	(n) sumptuousness	
super	(N/A) prep on	
super-	(prefixo) super-	
superabile	(adj) surmountable	
superabundante	(adj) superabundant	
superabundantia	(n) superabundance	
superabundar	(v) superabound	
superalimentar	(v) overfeed	
superalimentation	(n) overfeeding	
superar	(v) overcome	
superbe	(adj) arrogant	
superbia	(n) arrogance	
supercarga	(n) surcharge	
supercargar	(v) overload	
superciliari	(adj) superciliary	
supercilio	(n) brow	
superciliose	(adj) beetle-browed	
supercingula	(n) surcingle	
supercostal	(adj) supracostal	
supere	(adj) higher	
supereminente	(adj) supereminent	
supereminentia	(n) supereminence	
supererogar	(v) tc supererogate	
supererogation	(n) supererogation	
supererogatori	(adj) supererogatory	
superexcitar	(v) overexcite	
superexcitation	(n) overexcitement	
superfacie	(n) surface	
superfetation	(n) superfetation	
superficial	(adj) superficial	
superficialitate	(n) superficiality	
superficie	(n) surface	
superfin	(adj) superfine	
superflue	(adj) superfluous	
superfluitate	(n) superfluity	
superhomine	(n) superman	
superhuman	(adj) superhuman	
superintendente	(n) superintendent	
superintendentia	(n) supervision	
superintender	(v) superintend	
superior	(adj) higher	(n) superior	
superioritate	(n) superiority	
superlative	(adj) superlative	
superlativo	(n) superlative	
supermundan	(adj) supermundane	
supernatural	(adj) supernatural	
supernavigar	(v) sail above	
supernominar	(v) surname	
supernomine	(n) surname	
supernumerari	(adj) supernumerary	
superpaga	(n) overpayment	
superpagar	(v) overpay	
superpassar	(v) surpass	
superponer	(v) superpose	
superposition	(n) superposition	
superproduction	(n) overproduction	
supersaturar	(v) supersaturate	
supersaturation	(n) supersaturation	
superscarpa	(n) overshoe	
superseminar	(v) sow over	
superstition	(n) superstition	
superstitiose	(adj) superstitious	
superstructura	(n) superstructure	
supertaxa	(n) surtax	
supertoto	(n) overcoat	
supervenientia	(n) supervenience	
supervenir	(v) happen	
supervivente	(n) survivor	
superviventia	(n) survival	
superviver	(v) survive	
suppa	(n) soup	
suppiera	(n) tureen	
supplantar	(v) supplant	
supplantation	(n) supplantation	
supplantator	(n) supplanter	
supplementar	(v) supplement	
supplementari	(adj) supplementary	
supplementation	(n) supplementation	
supplemento	(n) supplement	
suppler	(v) supply	
suppletion	(n) suppletion	
suppletive	(adj) supplementary	
suppletor	(n) supplier	
suppletori	(adj) supplementary	
supplica	(n) request	
supplicante	(n) supplicant	
supplicar	(v) entreat	
supplication	(n) entreaty	
supplicator	(n) suppliant	
supplicatori	(adj) supplicatory	
supplice	(adj) supplicant	
suppliciar	(v) execute	
suppliciato	(n) executed person	
supplicio	(n) punishment	
supponer	(v) suppose	
supportabile	(adj) supportable	
supportar	(v) support	
supporto	(n) support	
suppositicie	(adj) supposititious	
supposition	(n) supposition	
suppositive	(adj) suppositive	
suppositorio	(n) suppository	
suppression	(n) suppression	
suppressive	(adj) suppressive	
supprimer	(v) suppress	
suppurante ppr of suppurar;	(adj) suppurant	
suppurante	(n) suppurative	
suppurar	(v) suppurate	
suppuration	(n) suppuration	
suppurative	(adj) suppurative	
supra	(N/A) prep above	
suprarenal	(adj) suprarenal	
suprasensibile	(adj) supersensible	
suprematia	(n) supremacy	
supreme	(adj) supreme	
sura	(n) calf	
sural	(adj) sural	
surde	(adj) deaf	
surde mute	(adj) deaf and dumb	
surdina	(n) mute	
surditate	(n) deafness	
surgente ppr of surger;	(adj) surgent	
surger	(v) rise	
surmontabile	(adj) surmountable	
surmontar	(v) surmount	
surplicio	(n) surplice	
surplus	(n) surplus	
surprendente	(adj) surprising	
surprender	(v) surprise	
surprisa	(n) surprise	
surrealismo	(n) surrealism	
surrealista	(n) surrealist	
surrepticie	(adj) surreptitious	
surreption	(n) surreptitious action or manner	
surrider	(v) smile	
surriso	(n) smile	
surrogar	(v) substitute for	
surrogato	(n) substitute	
surtout	(n) overcoat	
surveliante	(n) supervisor	
surveliantia	(n) supervision	
suveliar	(v) supervise	
susceptibile	(adj) susceptible	
susceptibilitate	(n) susceptibility	
susceptive	(adj) susceptive	
suscitar	(v) raise up	
suscitation	(n) raising up	
suspectar	(v) suspect	
suspecte	(adj) suspicious	
suspender	(v) suspend	
suspense	(adj) in suspense	
suspension	(n) suspension	
suspensive	(adj) suspending	
suspensor	(n) suspender	
suspensorio	(n) suspensory	
suspicion	(n) suspicion	
suspiciose	(adj) suspicious	
suspirar	(v) sigh	
suspirator	(n) sigher	
suspiro	(n) sigh	
Susquehanna	(npr) Susquehanna	
sustenente ppr of sustener;	(adj) sustaining	
sustenentia	(n) sustenance	
sustene pectore	(n) brassi re	
sustener	(v) sustain	
sustenimento	(n) sustainment	
sustentamento	(n) sustenance	
sustentar	(v) sustain	
sustentation	(n) sustentation	
sustentor	(n) sustainer	
susurrante	(adj) whispering	
susurration	(n) susurration	
susurrator	(n) murmurer	
susurro	(n) murmur	
